UASTC Modes

MODE ID   |      0  |      1  |      2  |      3  |      4  |      5  |      6  |      7  |      8  |      9  |     10  |     11  |     12  |     13  |     14  |     15  |     16  |     17  |     18  |
----------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
Type      |    RGB  |    RGB  |    RGB  |    RGB  |    RGB  |    RGB  |    RGB  |    RGB  |   RGBA  |   RGBA  |   RGBA  |   RGBA  |   RGBA  |   RGBA  |   RGBA  |     LA  |     LA  |     LA  |    RGB  |
BC7 MODE  |  6 RGB  |      3  |      1  |      2  |      3  |  6 RGB  |  5 RGB  |      2  |  5 / 6  |      7  |      6  |      5  |      6  |      5  |      6  |      6  |      7  |      5  |      6  |
----------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
MODE      |   0  4  |   0  6  |   0  5  |   0  5  |   0  5  |   0  5  |   0  5  |   0  5  |   0  5  |   0  5  |   0  3  |   0  2  |   0  3  |   0  5  |   0  5  |   0  7  |   0  6  |   0  6  |   0  4  |
RGBA      |         |         |         |         |         |         |         |         |   5 32  |         |         |         |         |         |         |         |         |         |         |
BC1H0     |   4  1  |   6  1  |   5  1  |   5  1  |   5  1  |   5  1  |   5  1  |   5  1  |         |   5  1  |   3  1  |   2  1  |   3  1  |   5  1  |   5  1  |   7  1  |   6  1  |   6  1  |   4  1  |
BC1H1     |   5  1  |   7  1  |   6  1  |   6  1  |   6  1  |   6  1  |   6  1  |   6  1  |         |   6  1  |     =0  |     =0  |     =0  |   6  1  |   6  1  |   8  1  |   7  1  |   7  1  |   5  1  |
ETC1F     |   6  1  |   8  1  |   7  1  |   7  1  |   7  1  |   7  1  |   7  1  |   7  1  |     =0  |   7  1  |   4  1  |   3  1  |   4  1  |   7  1  |   7  1  |   9  1  |   8  1  |   8  1  |   6  1  |
ETC1D     |   7  1  |   9  1  |   8  1  |   8  1  |   8  1  |   8  1  |   8  1  |   8  1  |  37  1  |   8  1  |   5  1  |   4  1  |   5  1  |   8  1  |   8  1  |  10  1  |   9  1  |   9  1  |   7  1  |
ETC1I0    |   8  3  |   10 3  |   9  3  |   9  3  |   9  3  |   9  3  |   9  3  |   9  3  |  38  3  |   9  3  |   6  3  |   5  3  |   6  3  |   9  3  |   9  3  |  11  3  |  10  3  |  10  3  |   8  3  |
ETC1I1    |   11 3  |   13 3  |  12  3  |  12  3  |  12  3  |  12  3  |  12  3  |  12  3  |         |  12  3  |   9  3  |   8  3  |   9  3  |  12  3  |  12  3  |  14  3  |  13  3  |  13  3  |  11  3  |
ETC1BIAS  |   14 5  |   16 5  |  15  5  |  15  5  |  15  5  |  15  5  |  15  5  |  15  5  |         |  15  5  |         |         |         |  15  5  |  15  5  |  17  5  |  16  5  |  16  5  |  14  5  |
ETC2TM    |         |         |         |         |         |         |         |         |         |  20  8  |  12  8  |  11  8  |  12  8  |  20  8  |  20  8  |  22  8  |  21  8  |  21  8  |         |
ETC1S     |         |         |         |         |         |         |         |         |  41  2  |         |         |         |         |         |         |         |         |         |         |
ETC1R     |         |         |         |         |         |         |         |         |  43  5  |         |         |         |         |         |         |         |         |         |         |
ETC1G     |         |         |         |         |         |         |         |         |  48  5  |         |         |         |         |         |         |         |         |         |         |
ETC1B     |         |         |         |         |         |         |         |         |  53  5  |         |         |         |         |         |         |         |         |         |         |
----------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
Subsets   |      1  |      1  |      2  |      3  |      2  |      1  |      1  |      2  |      1  |      2  |      1  |      1  |      1  |      1  |      1  |      1  |      2  |      1  |      1  |
PAT       |         |         |  20  5  |  20  4  |  20  5  |         |         |  20  5  |         |  28  5  |         |         |         |         |         |         |  29  5  |         |         |
----------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
PlaneCnt  |      1  |      1  |      1  |      1  |      1  |      1  |      2  |      1  |      1  |      1  |      1  |      2  |      1  |      2  |      1  |      1  |      1  |      2  |      1  |
COMPSEL   |         |         |         |         |         |         |  20  2  |         |         |         |         |  19  2  |         |  28  2  |         |         |         |     =2  |         |
----------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
EP Range  |     19  |     20  |      8  |      7  |     12  |     20  |     18  |     12  |         |      8  |     13  |     13  |     19  |     20  |     20  |     20  |     20  |     20  |     11  |
ETQ       |  19 10  |         |         |  24 29  |  25 28  |         |  22 14  |  25 28  |         |         |  20 13  |  21 13  |  20 13  |         |         |         |         |         |         |
EBITS     |  29 36  |  21 48  |  25 48  |  53 36  |  53 36  |  20 48  |  36 30  |  53 36  |         |  33 64  |  33 32  |  34 32  |  33 48  |  30 64  |  28 64  |  30 32  |  34 64  |  29 32  |  19 30  |
----------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
W Range   |      8  |      2  |      5  |      2  |      2  |      5  |      2  |      2  |         |      2  |      8  |      2  |      5  |      0  |      2  |      8  |      2  |      2  |     11  |
